District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
Bhopal,2772,2371061,855
Raisen,8446,1331597,158
Rajgarh,6154,1545814,251
Sehore,6578,1311332,199
Vidisha,7371,1458875,198
Morena,4991,1965970,394
Sheopur,6585,687861,104
Bhind,4459,1703005,382
Gwalior,5214,2032036,390
Ashoknagar,4674,845071,181
Shivpuri,10278,1726050,168
Datia,2038,786754,386
Guna,6485,1241519,191
Alirajpur,3182,728999,229
Barwani,5432,1385881,255
Burhanpur,2473,757847,306
Indore,3898,3276697,841
Dhar,8153,2185793,268
Jhabua,6782,1025048,151
Khandwa,4927,1310061,262
Khargone,4927,1873046,262
Balaghat,9229,1701698,184
Chhindwara,10293,1716612,177
Jabalpur,5210,2463289,473
Katni,4927,1292042,262
Mandla,5805,1054905,182
Narsinghpur,5133,1091854,213
Seoni,8758,1379131,157
Dindori,7427,704524,95
Pandhurna,1522,374310,246
Betul,10043,1575362,157
Harda,3339,570465,171
Narmadapuram,6698,1241350,185
Rewa,6434,1748461,368
Satna,7502,2228935,297
Sidhi,4851,1127033,230
Singrauli,5672,1178273,208
Mauganj,1866,616645,331
Maihar,2722.79,856028,314
Chhatarpur,8687,1762375,203
Damoh,7306,1264219,173
Panna,7135,1016520,142
Sagar,10252,2378458,232
Tikamgarh,3878,1040359,268
Niwari,1170,404807,346
Anuppur,3746,749237,200
Shahdol,6205,1066063,172
Umaria,4026,644758,160
Agar Malwa,2785,571275,205
Dewas,7020,1563715,223
Mandsaur,5530,1340411,242
Neemuch,4267,826067,194
Ratlam,4861,1455069,299
Shajapur,3460,941403,272
Ujjain,6091,1986864,326
Central Delhi,23,578671,
East Delhi,49,1707725,
New Delhi,35,133713,
North Delhi,59,883418,
North East Delhi,56,2240749,
North West Delhi,234.4,3651261,
Shahdara,59.75,322931,
South Delhi,249,2733752,
South East Delhi,102,637775,
South West Delhi,421,2292363,
West Delhi,131,2531583,
Tawang,2085,49950,24
West Kameng,7422,87013,12
Bichom[2],2897,9710,12
East Kameng,4134,78413,19
Pakke-Kessang,,,
Kurung Kumey,8818,89717,10
Papum Pare,2875,176385,61
Kra Daadi,2202,22290,10
Lower Subansiri,3460,82839,24
Kamle,200,"22,256[29]",111.28
Keyi Panyor,,,
Upper Subansiri,7032,83205,12
Shi-Yomi,2875,13310,4.6
West Siang,8325,112272,12
Siang,2919,31920,11
Lower Siang,,80597,
Lepa-Rada,,,
Upper Siang,6188,33146,5
East Siang,4005,99019,25
Dibang Valley,9129,7948,1
Lower Dibang Valley,3900,53986,14
Lohit,2402,145538,61
Anjaw,6190,21089,3
Namsai,1587,95950,60
Changlang,4662,147951,32
Tirap,2362,111975,47
Longding,"1,200","60,000",50
Araria,2829,2811569,751
Arwal,637,699000,918
Aurangabad,3303,2540073,607
Banka,3018,2034763,533
Begusarai,1917,2970541,1222
Bhagalpur,2569,3037766,946
Bhojpur,2473,2728407,903
Buxar,1624,1706352,864
Darbhanga,2278,3937385,1442
East Champaran,3969,5099371,991
Gaya,4978,4391418,696
Gopalganj,2033,2562012,1057
Jamui,3099,1760405,451
Jehanabad,1569,1125313,963
Khagaria,1486,1666886,859
Kishanganj,1884,1690400,687
Kaimur,3363,1626384,382
Katihar,3056,3071029,782
Lakhisarai,1229,1000912,652
Madhubani,3501,4487379,1020
Munger,1419,1367765,800
Madhepura,1787,2001762,853
Muzaffarpur,3173,4801062,1180
Nalanda,2354,2877653,1006
Nawada,2492,2219146,726
Patna,3202,5838465,1471
Purnia,3228,3264619,787
