District Names,Population
Bhopal,2371061
Raisen,1331597
Rajgarh,1545814
Sehore,1311332
Vidisha,1458875
Morena,1965970
Sheopur,687861
Bhind,1703005
Gwalior,2032036
Ashoknagar,845071
Shivpuri,1726050
Datia,786754
Guna,1241519
Alirajpur,728999
Barwani,1385881
Burhanpur,757847
Indore,3276697
Dhar,2185793
Jhabua,1025048
Khandwa,1310061
Khargone,1873046
Balaghat,1701698
Chhindwara,1716612
Jabalpur,2463289
Katni,1292042
Mandla,1054905
Narsinghpur,1091854
Seoni,1379131
Dindori,704524
Pandhurna,374310
Betul,1575362
Harda,570465
Narmadapuram,1241350
Rewa,1748461
Satna,2228935
Sidhi,1127033
Singrauli,1178273
Mauganj,616645
Maihar,856028
Chhatarpur,1762375
Damoh,1264219
Panna,1016520
Sagar,2378458
Tikamgarh,1040359
Niwari,404807
Anuppur,749237
Shahdol,1066063
Umaria,644758
Agar Malwa,571275
Dewas,1563715
Mandsaur,1340411
Neemuch,826067
Ratlam,1455069
Shajapur,941403
Ujjain,1986864
Central Delhi,578671
East Delhi,1707725
New Delhi,133713
North Delhi,883418
North East Delhi,2240749
North West Delhi,3651261
Shahdara,322931
South Delhi,2733752
South East Delhi,637775
South West Delhi,2292363
West Delhi,2531583
Tawang,49950
West Kameng,87013
Bichom[2],9710
East Kameng,78413
Pakke-Kessang,
Kurung Kumey,89717
Papum Pare,176385
Kra Daadi,22290
Lower Subansiri,82839
Kamle,"22,256"
Keyi Panyor,
Upper Subansiri,83205
Shi-Yomi,13310
West Siang,112272
Siang,31920
Lower Siang,80597
Lepa-Rada,
Upper Siang,33146
East Siang,99019
Dibang Valley,7948
Lower Dibang Valley,53986
Lohit,145538
Anjaw,21089
Namsai,95950
Changlang,147951
Tirap,111975
Longding,"60,000"
Araria,2811569
Arwal,699000
Aurangabad,2540073
Banka,2034763
Begusarai,2970541
Bhagalpur,3037766
Bhojpur,2728407
Buxar,1706352
Darbhanga,3937385
East Champaran,5099371
Gaya,4391418
Gopalganj,2562012
Jamui,1760405
Jehanabad,1125313
Khagaria,1666886
Kishanganj,1690400
Kaimur,1626384
Katihar,3071029
Lakhisarai,1000912
Madhubani,4487379
Munger,1367765
Madhepura,2001762
Muzaffarpur,4801062
Nalanda,2877653
Nawada,2219146
Patna,5838465
Purnia,3264619
Rohtas,2959918
Saharsa,1900661
Samastipur,4261566
Sheohar,656246
Sheikhpura,634927
Saran,3951862
Sitamarhi,3423574
Supaul,2229076
Siwan,3330464
Vaishali,3495021
West Champaran,3935042
Balod,826165
Baloda Bazar,1078911
Balrampur,730491
Bastar,834873
Bemetara,795759
Bijapur,255230
Bilaspur,1625502
Dantewada,283479
Dhamtari,799781
Durg,1721948
Gariaband,597653
Gaurella-Pendra-Marwahi,336420
Janjgir-Champa,966671
Jashpur,851669
Kabirdham,822526
Kanker,748941
Kondagaon,578326
Khairagarh-Chhuikhadan-Gandai,368444
Korba,1206640
Koriya,247427
Mahasamund,1032754
Manendragarh-Chirmiri-Bharatpur,376000
Mohla-Manpur- Ambagarh Chowki,283947
Mungeli,701707
Narayanpur,139820
Raigarh,1112982
Raipur,2160876
