S.No.,State Code,State Name,District Code,District Name
1,35,Andaman And Nicobar Islands,603,Nicobars
2,35,Andaman And Nicobar Islands,632,North And Middle Andaman
3,35,Andaman And Nicobar Islands,602,South Andamans
4,28,Andhra Pradesh,745,Alluri Sitharama Raju
5,28,Andhra Pradesh,744,Anakapalli
6,28,Andhra Pradesh,502,Ananthapuramu
7,28,Andhra Pradesh,753,Annamayya
8,28,Andhra Pradesh,750,Bapatla
9,28,Andhra Pradesh,503,Chittoor
10,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema
11,28,Andhra Pradesh,505,East Godavari
12,28,Andhra Pradesh,748,Eluru
13,28,Andhra Pradesh,506,Guntur
14,28,Andhra Pradesh,746,Kakinada
15,28,Andhra Pradesh,510,Krishna
16,28,Andhra Pradesh,511,Kurnool
17,28,Andhra Pradesh,755,Nandyal
18,28,Andhra Pradesh,749,Ntr
19,28,Andhra Pradesh,751,Palnadu
20,28,Andhra Pradesh,743,Parvathipuram Manyam
21,28,Andhra Pradesh,517,Prakasam
22,28,Andhra Pradesh,519,Srikakulam
23,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore
24,28,Andhra Pradesh,754,Sri Sathya Sai
25,28,Andhra Pradesh,752,Tirupati
26,28,Andhra Pradesh,520,Visakhapatnam
27,28,Andhra Pradesh,521,Vizianagaram
28,28,Andhra Pradesh,523,West Godavari
29,28,Andhra Pradesh,504,Y.S.R.
30,12,Arunachal Pradesh,628,Anjaw
31,12,Arunachal Pradesh,787,Bichom
32,12,Arunachal Pradesh,229,Changlang
33,12,Arunachal Pradesh,230,Dibang Valley
34,12,Arunachal Pradesh,231,East Kameng
35,12,Arunachal Pradesh,232,East Siang
36,12,Arunachal Pradesh,718,Kamle
37,12,Arunachal Pradesh,786,Keyi Panyor
38,12,Arunachal Pradesh,677,Kra Daadi
39,12,Arunachal Pradesh,233,Kurung Kumey
40,12,Arunachal Pradesh,724,Leparada
41,12,Arunachal Pradesh,234,Lohit
42,12,Arunachal Pradesh,666,Longding
43,12,Arunachal Pradesh,235,Lower Dibang Valley
44,12,Arunachal Pradesh,719,Lower Siang
45,12,Arunachal Pradesh,236,Lower Subansiri
46,12,Arunachal Pradesh,678,Namsai
47,12,Arunachal Pradesh,723,Pakke Kessang
48,12,Arunachal Pradesh,237,Papum Pare
49,12,Arunachal Pradesh,725,Shi Yomi
50,12,Arunachal Pradesh,679,Siang
51,12,Arunachal Pradesh,238,Tawang
52,12,Arunachal Pradesh,239,Tirap
53,12,Arunachal Pradesh,240,Upper Siang
54,12,Arunachal Pradesh,241,Upper Subansiri
55,12,Arunachal Pradesh,242,West Kameng
56,12,Arunachal Pradesh,243,West Siang
57,18,Assam,739,Bajali
58,18,Assam,616,Baksa
59,18,Assam,280,Barpeta
60,18,Assam,705,Biswanath
61,18,Assam,281,Bongaigaon
62,18,Assam,282,Cachar
63,18,Assam,708,Charaideo
64,18,Assam,612,Chirang
65,18,Assam,283,Darrang
66,18,Assam,284,Dhemaji
67,18,Assam,285,Dhubri
68,18,Assam,286,Dibrugarh
