District code,State name,District Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Households_with_Telephone_Mobile_Phone,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,229064,190899,38165,123837,105227,641290,83071,158438,23226,181664,60616,101642,99947,74948,39709,21751,405015,289765,694780,600759,178435,89679,3019,2988,26828,56495,66361,54335,11127,5030,1902,24776,6597,37849,22747,1607,50339,2066,911,4036,4947,6396,31982,10700,14886,42727,27121,80569,14618,2218,2622,330,74,8968,259
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,214866,162578,52288,132003,82863,538879,90190,160649,27190,187839,68336,80862,83141,66459,41367,27950,374972,342646,717618,503223,160933,88978,10013,5091,54170,72197,83385,83615,699,9864,453,13064,1052,33558,51358,136,73303,2321,845,2173,3018,3743,23640,7998,11899,59121,13440,71441,15255,2962,3493,452,79,9030,201
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,75079,53265,21814,57125,17954,58408,17250,36920,17474,54394,10452,15181,17900,16265,8923,6197,75493,32637,108130,70703,41515,21019,609,4271,13597,13836,10304,18780,64,5991,620,6115,1565,10962,3031,55,6254,135,1630,1483,3113,2302,10528,4422,3804,5378,1758,12742,3492,716,835,87,32,3708,33
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,51873,39839,12034,28941,22932,88929,15824,40370,7774,48144,12732,19083,20874,16938,9826,3077,82938,39854,122792,87532,35561,17488,488,1847,8008,10562,11887,17649,1,3289,323,2641,907,9218,1963,197,10769,19,689,834,1523,983,4991,1652,2356,6832,4866,10366,3835,1252,1643,308,83,2368,39
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,161393,117677,43716,73247,88146,315442,62900,132139,15269,147408,55762,72024,69219,46062,29517,13962,288430,164044,452474,304979,109818,61334,846,1731,16022,36358,19789,16586,17702,4036,12448,1351,5351,33146,17078,308,43697,234,1531,7435,8966,10664,44517,15825,18028,31443,3952,70995,9180,1148,1250,87,15,7453,117
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,290912,184752,106160,130377,160535,351503,96012,196070,17508,213578,70996,91859,108785,65921,35804,18576,394977,242306,637283,404903,153165,83319,2203,3128,34209,65569,22470,17778,17991,6716,37100,2171,9574,40993,18838,458,39628,269,2107,12777,14884,18069,70033,25803,26161,35702,3381,103780,8246,710,781,55,16,11193,135
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,200431,161548,38883,142847,57584,416004,109422,181374,33473,214847,69396,82715,106411,91522,47694,24330,426572,181297,607869,357864,160123,97684,17726,4687,66944,88964,47372,26033,8616,31020,8978,860,5595,36594,52019,771,61227,3438,2476,7394,9870,12854,67133,26670,27609,33057,7776,87230,15954,3596,4489,752,141,10163,139
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,304200,249581,54619,187959,116241,703839,138180,210543,48932,259475,76778,117000,137510,107837,57932,48285,555050,350119,905169,636524,239659,130513,13361,10075,75137,107269,121099,113281,2813,4718,2185,14344,2618,40787,78323,1167,113894,1556,1683,5806,7489,10413,55314,18929,25972,60195,22992,104921,23218,4740,5655,746,169,12196,387
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,149317,101380,47937,75173,74144,242915,45469,80521,17555,98076,34064,47240,48849,35630,18644,12721,199416,163648,363064,252378,90465,48802,5645,2237,25399,34528,43923,42035,723,2486,2679,11725,3000,18295,18131,1244,33973,839,546,2019,2565,3938,20321,6910,9473,24079,9829,40502,8908,1834,2272,371,67,5112,6
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,407188,333151,74037,330547,76641,829641,165403,4518,257721,262239,88911,173309,178723,176409,132727,121856,904049,310225,1214274,693238,351561,190330,44501,34586,152945,157875,164263,164002,38,1563,55,669,317,7457,157176,64,164426,692,2326,6626,8952,15425,94928,37998,41505,49622,13946,117581,23234,6314,7640,1075,251,18993,251
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,100890,73305,27585,52949,47941,196556,38487,63788,13558,77346,25817,38735,38375,28247,15005,9633,158024,116734,274758,194165,66945,35911,6005,2313,20350,27786,33167,31492,151,1433,1789,3097,497,11294,25368,540,35518,569,325,1404,1729,2978,16301,5509,7814,21532,3687,32518,6513,992,1103,92,19,3115,4
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,188420,138428,49992,98306,90114,372020,73629,147520,21703,169223,36201,54808,73991,67368,40931,31286,310482,190369,500851,342601,137032,80111,5479,6164,45967,65162,61749,53836,212,13347,660,8108,929,19320,50893,430,56749,3413,705,2291,2996,5461,32942,11863,15618,31436,13867,55081,15020,3099,3612,439,74,7528,213
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,87721,63931,23790,54703,33018,178494,35282,75616,5272,80888,26468,29593,36939,28617,16501,10782,150910,107053,257963,170086,60752,35158,1636,3634,19896,33786,33535,25628,217,3441,392,5395,967,12986,19888,146,30968,778,315,1361,1676,3268,17620,6301,8051,17679,4972,30863,6863,1332,1552,185,35,2669,119
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,389684,244032,145652,176800,212884,689008,114899,207067,70666,277733,73719,99059,129174,97121,52407,41570,502210,337265,839475,704145,239988,133519,6295,7846,67166,102683,98110,80917,1024,12424,2531,19048,2564,40538,71259,1206,103058,2010,1542,5158,6700,11464,58558,20510,26584,48155,29574,105428,20950,3338,3880,432,110,12729,404
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,159990,102317,57673,77812,82178,264493,47913,95952,25178,121130,36066,47268,60470,45383,24214,18240,234831,175199,410030,266858,99870,57253,1853,2421,25825,49605,40973,31048,354,3743,1846,11749,1937,26440,23503,217,48856,640,785,3173,3958,6618,31875,11391,13866,27713,5657,53444,9163,1330,1523,166,27,5073,3
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,151912,101144,50768,79377,72535,258024,61831,122267,11350,133617,43794,47350,62719,48359,31416,12647,248131,163565,411696,263576,93189,52744,563,1804,19244,47031,26716,23060,2915,202,4545,978,2063,35304,25054,261,66002,60,1782,6482,8264,9190,40819,14876,16753,25349,4188,60875,8043,1127,1324,169,28,8378,247
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,87212,68476,18736,52051,35161,196501,34243,84281,5341,89622,33971,35284,35115,22591,13331,4923,146713,141812,288525,188526,61604,33220,214,958,8110,27216,13135,10892,3588,270,12201,1867,1721,23687,12889,477,33094,42,1019,5364,6383,7205,26323,9250,9868,18350,3150,44065,3547,321,358,29,8,6236,1
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,82974,56779,26195,44718,38256,147722,24067,72378,5993,78371,25022,25675,27745,19550,14521,5438,120480,101166,221646,145931,53415,31084,439,850,9281,17702,12609,10761,930,297,2412,3918,2179,18814,10867,140,34280,82,1206,3893,5099,5167,22247,7971,9109,14790,2381,33933,4233,664,789,111,14,5562,4
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,243672,163845,79827,152442,91230,311313,73999,148664,34696,183360,58567,80129,86008,55024,29657,17345,330760,194838,525598,339145,140785,74757,3948,3800,37323,64858,21542,18063,9401,4742,21428,1825,5848,36891,21585,782,47796,166,1758,4971,6729,8878,47101,17980,20243,31098,8634,62914,15369,3544,4377,686,147,10902,218
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,144767,88755,56012,88462,56305,169900,31588,95572,12261,107833,33411,40215,36184,24066,14064,4733,153248,143293,296541,203967,70767,39743,1340,1878,13645,28783,11155,8334,4765,1279,8665,809,3763,24500,12843,830,33866,25,1042,3376,4418,5810,26231,9500,10921,19670,4473,41179,7060,1089,1243,137,17,5310,2
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,508622,417456,91166,410344,98278,1021336,294739,254566,248043,502609,135391,185962,253542,261852,159257,146501,1173121,268279,1441400,816827,435895,275585,68272,44063,240478,241206,231365,162522,6884,117098,1716,671,3680,46394,233123,1681,168693,8076,6386,20036,26422,39453,193158,81952,71753,68820,13616,215803,40735,8759,10378,1376,243,35100,404
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,92526,81952,10574,74129,18397,226372,61159,94247,19989,114236,29138,41233,59931,61407,30503,14055,238867,65643,304510,177277,88246,53022,13653,4093,47611,50736,43562,20650,3488,25438,142,204,532,13359,42707,620,32061,2009,1280,3983,5263,8509,40308,16413,15386,14876,2370,45121,8450,1642,1948,263,43,7298,139
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,294035,158791,135244,119632,174403,225045,96082,186395,13836,200231,56272,96789,67653,64515,40440,15506,344427,154575,499002,306555,130606,81566,1657,5074,62233,73995,46292,52553,131,1031,1834,371,1749,55088,36220,154,96451,9,5229,6765,11994,10046,52526,20811,21669,31977,5475,66941,17582,2765,3143,323,55,14306,118
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,675170,403756,271414,313915,361255,834905,330081,588321,39007,627328,127699,243617,223099,284124,192936,91236,1176288,271892,1448180,766581,419172,319420,38456,22727,272579,274180,229975,220258,4712,18358,1441,237,3377,105689,200604,644,301016,1716,15746,29154,44900,49211,213017,92030,71776,68294,10196,220761,52298,8867,10052,1056,129,53296,317
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,19295,10763,8532,15190,4105,12269,5618,17434,0,17434,3776,5042,4011,3934,3557,2378,22817,6515,29332,15928,9181,6200,108,536,4938,4995,4946,5232,1,339,46,78,101,4036,1719,0,6123,0,1003,621,1624,795,2947,1105,1047,1695,429,3621,925,137,159,21,1,1990,8
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,269084,148829,120255,193876,75208,168819,91322,167995,20709,188704,48384,77363,61854,58122,39081,23168,310349,103136,413485,244727,120510,72282,2450,8479,66910,79454,66129,55831,568,1753,794,610,2918,38399,46354,451,87848,271,6409,8723,15132,11656,53737,23630,18451,22985,3691,62549,14979,2492,2794,272,30,15223,98
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,572671,297464,275207,284154,288517,427106,214491,431129,31696,462825,100052,159043,132147,180188,128549,54139,763468,218570,982038,524285,279321,194661,10927,15958,157314,172205,175038,181985,1899,1860,470,455,2854,84301,123062,1049,209375,142,11117,20457,31574,29022,130468,59385,42061,48770,9182,141425,40350,7803,8883,934,146,29336,233
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,241931,118724,123207,126153,115778,212837,104120,196116,15232,211348,37327,71107,72114,91184,64363,35620,376978,72551,449529,224044,123941,106641,7094,6665,86324,90286,86909,93858,1443,5691,91,22,353,29624,69696,140,94807,208,6218,11549,17767,16803,64353,27573,19977,19251,3697,65041,15955,3047,3478,383,48,20594,95
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,215346,141612,73734,134482,80864,305827,105929,185091,20126,205217,51838,87913,81256,105204,60626,32120,424468,87735,512203,273223,142351,105358,41378,8059,88894,90729,87268,66103,2205,11627,78,48,353,30021,71588,128,93873,2419,4431,8047,12478,13184,65541,27689,24668,26829,4851,71424,18538,3527,4086,498,61,15651,108
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,205871,111543,94328,103406,102465,176085,79146,152458,11987,164445,35817,59489,53515,64730,45695,25474,287961,65864,353825,193671,107367,80497,5387,6573,61392,66935,61113,56814,2143,5617,513,43,1663,28605,42589,759,67847,477,3819,6685,10504,9924,46905,21119,15862,18706,4338,50624,15387,3523,4063,459,81,10379,528
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,298737,190001,108736,219235,79502,281583,119866,192787,51509,244296,50331,89407,83992,95232,59363,36803,423408,104084,527492,321533,167168,90808,12426,15117,94692,108699,105861,90587,2249,6105,1683,472,5371,35692,74848,1148,103964,3148,8513,11613,20126,15608,68774,30610,22556,27001,7452,74573,19282,5062,6076,857,157,23422,116
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,280083,169399,110684,193906,86177,249772,91509,171102,21054,192156,57853,100123,78103,67080,38282,23352,368841,140486,509327,310244,136839,82471,16691,7459,58902,75406,74088,60246,2064,8795,1993,1297,3558,40315,39659,1110,75607,1045,4217,6645,10862,9085,47460,19481,18894,29490,9278,61976,18571,3769,4665,709,187,11878,124
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,430926,258628,172298,311770,119156,383084,172754,279269,95896,375165,69967,113536,113305,141490,95341,80414,623801,137576,761377,425721,241956,145577,2813,23107,131450,161675,153356,123535,2187,1382,1051,1134,4795,58532,102066,1390,166551,70,14631,18780,33411,25892,102290,44780,31618,37051,8018,114928,25903,4965,5765,688,112,34174,156
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,56273,33863,22410,46782,9491,27848,17865,44514,0,44514,9400,13749,11437,11140,7871,5118,59428,16944,76372,42360,26599,15075,190,2775,12925,16468,13902,13521,42,130,282,174,561,6083,11752,98,17996,86,2813,2912,5725,2817,9423,3672,2934,3758,629,10752,2106,207,235,19,9,6442,21
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,757138,637652,119486,625778,131360,1541185,411216,420860,185488,606348,180897,315156,290618,372317,243539,104345,1528979,478020,2006999,1261421,611353,423301,280874,32484,365644,336075,360051,258924,1572,298315,235,347,3352,30846,393314,148,124910,89511,7861,21055,28916,43883,247200,100635,102682,126141,28955,285718,82786,19869,23635,3187,579,39073,269
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,284165,235562,48603,248208,35957,531003,161206,165433,95770,261203,71698,127031,112774,128828,77442,48221,575495,174995,750490,433331,222324,157833,107044,23561,144945,145116,149071,137713,85,75439,42,119,1897,14783,145612,53,87546,42939,5447,12347,17794,20440,96950,40344,36166,41775,8817,110069,28131,5932,7043,943,168,20093,81
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,774472,639484,134988,689592,84880,1419118,446200,330339,377791,708130,183441,333736,304652,339758,216646,162965,1575774,387809,1963583,1159156,616431,416449,286365,72374,401189,395069,422876,392909,280,151053,135,113,4639,35640,409159,60,297183,80682,15964,36351,52315,60945,273097,112642,99510,107202,21459,303584,68750,13495,15600,1805,300,66139,201
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,499822,412506,87316,411011,88811,1086803,319930,422673,128592,551265,143871,256127,238975,301435,176013,93618,1227466,294723,1522189,831741,422782,330671,227316,33720,285904,278411,285730,210621,1721,145269,101,125,4106,37705,278909,128,177302,52828,12002,26350,38352,44638,198627,80977,73012,78502,14213,217844,52307,9712,11214,1309,193,48329,167
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304,204329,170252,34077,173507,30822,407981,125068,183168,48383,231551,53709,111242,94286,101970,61643,26893,455446,133275,588721,318597,163305,128310,91772,14456,109258,110382,115870,90711,153,63343,40,96,2345,11541,112136,69,62350,28107,4966,10491,15457,17242,75821,30689,27890,31846,5510,84178,21035,3433,3964,453,78,19457,67
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,214783,182777,32006,192845,21938,385380,113683,117559,57337,174896,51897,102257,83931,95073,59555,34990,432310,142314,574624,321018,166781,111028,84834,18239,98080,98401,104467,99858,81,68438,21,75,2699,8403,104951,34,44186,47359,3373,7170,10543,12956,65329,26856,25517,31413,8468,71651,23817,6191,7425,1003,231,12860,67
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,1284822,1053600,231222,1138654,146168,2213917,703624,395032,641789,1036821,277247,488129,443759,527568,318876,272280,2372099,631980,3004079,1901528,980046,614258,461137,120172,604959,606726,669232,667902,559,269706,208,310,5851,43609,660590,216,438455,127188,25002,51806,76808,88053,417697,172627,157017,181920,39679,476270,122292,27009,31634,3911,714,85908,336
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,359172,292379,66793,304880,54292,636574,183396,214295,74144,288439,98764,158812,116716,128693,85642,37417,638000,306336,944336,535408,258826,194768,140084,26253,152610,155841,171503,167596,185,91646,66,209,6865,25433,151928,199,91608,71851,4014,10988,15002,20558,106380,42398,43424,56638,13208,124032,38321,8484,10212,1410,318,18663,128
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,756695,596406,160289,618362,138333,1272379,349662,348522,153868,502390,196971,306838,226433,221806,147698,82448,1207928,714869,1922797,1171770,525459,331259,237901,37105,277615,290671,303760,274015,602,196377,90,3947,8539,55030,286759,1153,161386,47667,5935,20792,26727,38362,209891,83824,87705,112699,24850,251154,72346,17405,20602,2805,392,30065,235
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,335326,272699,62627,287205,48121,566570,166585,149507,74650,224157,90240,137470,101852,104682,62612,36905,544427,340886,885313,495167,242628,162297,109666,23185,130482,135144,152188,133635,187,72452,50,1632,3314,27435,125869,205,94584,2897,3133,9529,12662,18916,97967,39766,39285,50539,11624,112350,36561,9078,10416,1119,219,13465,113
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,221555,185049,36506,190415,31140,395953,113549,99946,58917,158863,53734,89433,71178,75419,48360,29838,373752,204895,578647,336540,164962,113721,82761,15528,93053,95758,107033,99988,81,65489,17,1163,2150,11352,95315,27,48872,11685,2260,6768,9028,13162,67572,27494,26916,34001,7592,76761,25289,5936,6901,816,149,9242,76
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,549986,432988,116998,452678,97308,838539,255650,218159,137563,355722,117795,182796,145626,163928,96329,70240,793380,438529,1231909,754927,377707,255283,176384,36173,204051,215302,241449,232629,320,105388,62,1530,5164,39408,211601,1256,151659,43730,6681,15380,22061,29909,152743,64112,58722,73819,17412,168278,55630,13697,15928,1876,355,26199,160
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,328512,230739,97773,247175,81337,441239,140099,145603,50786,196389,75708,106162,84553,85953,48663,27461,434158,311513,745671,420050,200882,146103,90845,12805,102314,111889,128019,99571,93,69458,45,1205,4032,23021,108275,108,71808,25087,2780,7776,10556,15496,83497,34500,33501,43195,9879,95737,30615,7184,8364,982,198,12411,106
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,660267,549661,110606,570391,89876,1235419,352929,299279,218090,517369,173890,283837,239609,256826,157435,141947,1280816,518772,1799588,1042519,517079,335100,253101,57008,308440,303548,327085,309524,361,144431,84,213,8370,39120,306941,161,207661,119054,7644,21213,28857,40628,212045,90122,81295,97179,23659,235508,74053,17967,21439,2872,600,30740,241
