#,Code,District Name,District Headquarters,C.D. Blocks,Population (2011),Area (km2),Density (/km2) (2011),Map
1,AR,Araria,Araria,Araria Bhargama Forbesganj Jokihat Kursa Kanta Narpatganj Palasi Raniganj Sikti,2811569,2829,751,
2,AW,Arwal,Arwal,Arwal Kaler Karpi Kurtha Sonbhadra Banshi Suryapur,699000,637,918,
3,AU,Aurangabad,Aurangabad,Aurangabad Barun Daudnagar Deo Goh Haspura Kutumba Madanpur Nabinagar Obra Rafiganj,2540073,3303,607,
4,BA,Banka,Banka,Amarpur Banka Barahat Belhar Bounsi Chandan Dhoraiya Fullidumar Katoria Rajoun Sambhuganj,2034763,3018,533,
5,BE,Begusarai,Begusarai,Bachhwara Bakhri Balia Barauni Begusarai Bhagwanpur Birpur Cheria Bariarpur Chhorahi Dandari Garhpura Khodawandpur Mansurchak Matihani Naokothi Sahebpur Kamal Samho Akha Kurha Teghra,2970541,1917,1222,
6,BG,Bhagalpur,Bhagalpur,Bihpur Gopalpur Goradih Ismailpur Jagdishpur Kahalgaon Kharik Narayanpur Nathnagar Naugachhia Pirpainti Rangra Chowk Sabour Sanhaula Shahkund Sultanganj,3037766,2569,946,
7,BJ,Bhojpur,Arrah,Arrah Agiaon Barhara Bihiya Charpokhari Garhani Jagdishpur Koilwar Piro Sahar Sandesh Shahpur Tarari Udwantnagar,2728407,2473,903,
8,BU,Buxar,Buxar,Buxar Brahmapur Chakki Chausa Chaugain Dumraon Itarhi Kesath Nawanagar Rajpur Simri,1706352,1624,864,
9,DA,Darbhanga,Darbhanga,Alinagar Bahadurpur Baheri Benipur Biraul Darbhanga Sadar Gaura Bauram Ghanshyampur Hanuman Nagar Hayaghat Jale Keoti Kiratpur Kusheshwar Asthan East Kusheshwar Asthan Manigachhi Singhwara Tardih,3937385,2278,1442,
10,EC,East Champaran,Motihari,Adapur Areraj Banjaria Bankatwa Chakia Chiraiya Dhaka Ghorasahan Harsidhi Kalyanpur Kesaria Kotwa Madhuban Mehsi Motihari Narkatia Paharpur Pakri Dayal Patahi Phenhara Piprakothi Ramgarhwa Raxaul Sangrampur Sugauli Tetaria Turkaulia,5099371,3969,991,
11,GA,Gaya,Gaya,Gaya Town Amas Atri Banke Bazar Barachatti Bathani Belaganj Bodh Gaya Dobhi Dumaria Fatehpur Guraru Gurua Imamganj Khizirsarai Konch Manpur Mohanpur Muhra Paraiya Sherghati Tan Kuppa Tekari Wazirganj,4391418,4978,696,
12,GO,Gopalganj,Gopalganj,Baikunthpur Barauli Bhorey Bijaipur Gopalganj Hathua Katiya Kuchaikote Manjha Pach Deuri Phulwaria Sidhwalia Thawe Uchkagaon,2562012,2033,1057,
13,JA,Jamui,Jamui,Barhat Chakai Gidhour Islampur Aliganj Jamui Jhajha Khaira Laxmipur Sikandra Sono,1760405,3099,451,
14,JE,Jehanabad,Jehanabad,Ghoshi Hulasganj Jehanabad Kako Makhdumpur Modanganj Ratni Faridpur,1125313,1569,963,
15,KH,Khagaria,Khagaria,Alauli Baldaur Chautham Gogri Khagaria Mansi Parbatta,1666886,1486,859,
16,KI,Kishanganj,Kishanganj,Bahadurganj Dighalbank Kishanganj Kochadhaman Pothia Terhagachh Thakurganj,1690400,1884,687,
17,KM,Kaimur,Bhabua,Adhaura Bhabua Bhagwanpur Chainpur Chand Durgawati Kudra Mohania Nuaon Ramgarh Rampur,1626384,3363,382,
18,KT,Katihar,Katihar,Amdabad Azamnagar Balrampur Barari Barsoi Dandkhora Falka Hasanganj Kadwa Katihar Korha Kursela Manihari Mansahi Pranpur Sameli,3071029,3056,782,
19,LA,Lakhisarai,Lakhisarai,Barahiya Chanan Halsi Lakhisarai Pipariya Ramgarh Chowk Surajgarha,1000912,1229,652,
20,MB,Madhubani,Madhubani,Andhra Tharhi Babubarhi Basopatti Benipatti Bisfi Ghoghardiha Harlakhi Jainagar Jhanjharpur Kaluahi Khajauli Ladania Lakhnaur Laukahi Madhwapur Madhubani Pandaul Phulparas Rahika Rajnagar,4487379,3501,1020,
21,MG,Munger,Munger,Asarganj Bariarpur Dharhara Haveli Kharagpur Jamalpur Munger Sangrampur Tarapur Tetia Bambar,1367765,1419,800,
22,MP,Madhepura,Madhepura,Alamnagar Bihariganj Chousa Gamhariya Ghelardh Gwalpara Kumarkhand Madhepura Murliganj Puraini Shankarpur Singheshwar Udakishunganj,2001762,1787,853,
23,MZ,Muzaffarpur,Muzaffarpur,Aurai Block Bandra Bochaha Gaighat Kanti Katra Kurhani Marwan Minapur Muraul (Dholi) Motipur Musahri Paroo Sahebganj Sakra Saraiya,4801062,3173,1180,
