District,Code,Headquarters,Established,Area (in km2),Population (2011 Census estimates)[5],Highlighted Map
Ambala,AM,Ambala,1-Nov-66,1574,1136784,
Bhiwani,BH,Bhiwani,22-Dec-72,3432,1126833,
Charkhi Dadri,CD,Charkhi Dadri,1-Dec-16,1370,502276,
Faridabad,FR,Faridabad,15-Aug-79,792,1798954,
Fatehabad,FT,Fatehabad,15-Jul-97,2538,941522,
Gurugram,GU,Gurugram,1-Nov-66,1253,1514085,
Hisar,HI,Hisar,1-Nov-66,3983,1742815,
Jhajjar,JH,Jhajjar,15-Jul-97,1834,956907,
Jind,JI,Jind,1-Nov-66,2702,1332042,
Kaithal,KT,Kaithal,1-Nov-89,2317,1072861,
Karnal,KR,Karnal,1-Nov-66,2520,1506323,
Kurukshetra,KU,Kurukshetra,23-Jan-73,1530,964231,
Mahendragarh,MH,Narnaul,1-Nov-66,1859,921680,
Nuh,NH,Nuh,4-Apr-05,1874,1089406,
Palwal,PL,Palwal,15-Aug-08,1359,1040493,
Panchkula,PK,Panchkula,15-Aug-95,898,558890,
Panipat,PP,Panipat,1-Nov-89,1268,1202811,
Rewari,RE,Rewari,1-Nov-89,1582,896129,
Rohtak,RO,Rohtak,1-Nov-66,1745,1058683,
Sirsa,SI,Sirsa,26-Aug-75,4277,1295114,
Sonipat,SO,Sonipat,22-Dec-72,2122,1480080,
Yamunanagar,YN,Yamunanagar,1-Nov-89,1768,1214162,
