S. No.,District,Headquarters,Established,Area (km2),Population (2011 census)[1],Population density (/km2),Map
1,Bilaspur,Bilaspur,1954,1167,381956,327,
2,Chamba,Chamba,1948,6522,519080,80,
3,Hamirpur,Hamirpur,1972,1118,454768,407,
4,Kangra,Dharamsala,1972,5739,1510075,263,
5,Kinnaur,Reckong Peo,1960,6401,84121,13,
6,Kullu,Kullu,1963,5503,437903,80,
7,Lahaul and Spiti,Kyelang,1960,7835,18564,1,
8,Mandi,Mandi,1948,3950,999777,250,
9,Shimla,Shimla,1972,5131,814010,159,
10,Sirmaur,Nahan,1948,2825,529855,188,
11,Solan,Solan,1972,1936,580320,300,
12,Una,Una,1972,1540,521173,338,
