SI No.,Code,District,Headquarters,Area[2] (km2),Population[2] (2011),Population Density (/km2),Map
1,BO,Bokaro,Bokaro Steel City,2883,2062330,715,
2,CH,Chatra,Chatra,3718,1042886,280,
3,DE,Deoghar,Deoghar,2477,1492073,602,
4,DH,Dhanbad,Dhanbad,2040,2684487,1316,
5,DU,Dumka,Dumka,3761,1321442,351,
6,ES,East Singhbhum,Jamshedpur,3562,2293919,644,
7,GA,Garhwa,Garhwa,4093,1322784,323,
8,GI,Giridih,Giridih,4962,2445474,493,
9,GO,Godda,Godda,2266,1313551,580,
10,GU,Gumla,Gumla,5360,1025213,191,
11,HA,Hazaribagh,Hazaribagh,3555,1734495,488,
12,,Jamtara,Jamtara,1811,791042,437,
13,,Khunti,Khunti,2535,531885,210,
14,KO,Kodarma,Kodarma,1655,716259,282,
15,,Latehar,Latehar,4291,726978,169,
16,LO,Lohardaga,Lohardaga,1502,461790,307,
17,PK,Pakur,Pakur,1811,900422,497,
18,PL,Palamu,Medininagar,4393,1939869,442,
19,,Ramgarh,Ramgarh Cantonment,1341,949443,708,
20,RA,Ranchi,Ranchi,5097,2914253,572,
21,SA,Sahibganj,Sahibganj,2063,1150567,558,
22,,Saraikela-Kharsawan,Saraikela,2657,1065056,401,
23,,Simdega,Simdega,3774,599578,159,
24,WS,West Singhbhum,Chaibasa,7224,1502338,208,
