Code,Districts,Headquarters,Formation Day[1],Population (2011 Census[6]),Area (km2),Density in 2011 (/km2),Map
1,Angul,Angul,1-Apr-93,1273821,6375,200,
2,Balangir,Balangir,1-Nov-49,1648997,6575,251,
3,Balasore,Balasore,Oct 1828,2320529,3634,638,
4,Bargarh,Bargarh,1-Apr-93,1481255,5837,254,
5,Bhadrak,Bhadrak,1-Apr-93,1506337,2505,601,
6,Boudh,Boudh,2-Jan-94,441162,3444.8,128,
7,Cuttack,Cuttack,,2624470,3932,667,
8,Debagarh,Debagarh,1-Jan-94,312520,2782,112,
9,Dhenkanal,Dhenkanal,,1192811,4452,268,
10,Gajapati,Paralakhemundi,2-Oct-92,577817,3850,150,
11,Ganjam,Chhatrapur,,3529031,8206,430,
12,Jagatsinghapur,Jagatsinghapur,1-Apr-36,1136971,1759,646,
13,Jajpur,Jajpur,1-Apr-93,1827192,2887.69,633,
14,Jharsuguda,Jharsuguda,1-Jan-94,579505,2081,278,
15,Kalahandi,Bhawanipatna,1-Jan-48,1576869,7920,199,
16,Kandhamal,Phulbani,1-Jan-94,733110,7654,96,
17,Kendrapara,Kendrapara,1-Apr-93,1440361,2644,545,
18,Kendujhar,Kendujhar,1-Jan-48,1801733,8303,217,
19,Khordha,Khordha,1-Apr-93,2251673,2813,800,
20,Koraput,Koraput,1-Apr-36,1379647,8807,157,
21,Malkangiri,Malkangiri,2-Oct-92,613192,5791,106,
22,Mayurbhanj,Baripada,1-Jan-49,2519738,10418,242,
23,Nabarangpur,Nabarangapur,2-Oct-92,1220946,5294,231,
24,Nayagarh,Nayagarh,1-Apr-93,962789,3890,247,
25,Nuapada,Nuapada,1-Apr-93,610382,3852,158,
26,Puri,Puri,,1698730,3051,557,
27,Rayagada,Rayagada,2-Oct-92,967911,7073,137,
28,Sambalpur,Sambalpur,,1041099,6702,155,
29,Subarnapur,Subarnapur,1-Apr-93,610183,2337,261,
30,Sundargarh,Sundargarh,1-Jan-48,2093437,9712,215,
,Odisha,,1-Apr-36,41974218,154468.98,272,
