S. No.,Code[2],District,Headquarters,Population (2011),Area (km2)[3],Density (/km2),Highlighted Map
1,AM,Amritsar,Amritsar,2490891,2647,932,
2,BNL,Barnala,Barnala,596294,1410,419,
3,BA,Bathinda,Bathinda,1388859,3385,414,
4,FR,Faridkot,Faridkot,618008,1469,424,
5,FT,Fatehgarh Sahib,Fatehgarh Sahib,599814,1180,508,
6,FI,Firozpur,Firozpur,965337,2190,440,
7,FA,Fazilka[4],Fazilka,1180483,3113,379,
8,GU,Gurdaspur,Gurdaspur,2299026,2635,649,
9,HO,Hoshiarpur,Hoshiarpur,1582793,3365,466,
10,JA,Jalandhar,Jalandhar,2181753,2632,831,
11,KA,Kapurthala,Kapurthala,817668,1632,501,
12,LU,Ludhiana,Ludhiana,3487882,3767,975,
13,ML,Malerkotla,Malerkotla,452016,837,540,
14,MA,Mansa,Mansa,768808,2171,350,
15,MO,Moga,Moga,992289,2216,444,
16,MU,Sri Muktsar Sahib,Sri Muktsar Sahib,902702,2615,348,
17,PA,Pathankot,Pathankot,676598,929,728,
18,PA,Patiala,Patiala,1892282,3218,596,
19,RU,Rupnagar,Rupnagar,683349,1369,488,
20,SAS,Sahibzada Ajit Singh Nagar,Mohali,986147,1093,830,
21,SA,Sangrur,Sangrur,1203153,2848,422,
22,NS,Shaheed Bhagat Singh Nagar,Nawanshahr,614362,1267,478,
23,TT,Tarn Taran,Tarn Taran Sahib,1120070,2449,464,
