S.No.,District,Headquarters,Area (km2),Population,Division
1,Ajmer,Ajmer,8481,1531974,Ajmer
2,Alwar,Alwar,8380,2015275,Jaipur
3,Balotra,Balotra,,1115751,Jodhpur
4,Banswara,Banswara,5037,1798194,Udaipur
5,Baran,Baran,6992,1223921,Kota
6,Barmer,Barmer,28387,1488000,Jodhpur
7,Beawar,Beawar,,1094918,Ajmer
8,Bharatpur,Bharatpur,5066,1475707,Bharatpur
9,Bhilwara,Bhilwara,10455,1589543,Ajmer
10,Bikaner,Bikaner,30247,2367745,Bikaner
11,Bundi,Bundi,5550,1113725,Kota
12,Chittorgarh,Chittorgarh,7822,1544392,Udaipur
13,Churu,Churu,13858,2041172,Bikaner
14,Dausa,Dausa,3432,1637226,Jaipur
15,Deeg,Deeg,,1072755,Bharatpur
16,Didwana-Kuchaman,Deedwana,,1625837,Ajmer
17,Dholpur,Dholpur,3084,1207293,Bharatpur
18,Dungarpur,Dungarpur,3770,1388906,Udaipur
19,Hanumangarh,Hanumangarh,9656,1774692,Bikaner
20,Jaipur,Jaipur,11152,6046835,Jaipur
21,Jaisalmer,Jaisalmer,38401,669919,Jodhpur
22,Jalore,Jalore,10640,1828730,Jodhpur
23,Jhalawar,Jhalawar,6928,1411129,Kota
24,Jhunjhunu,Jhunjhunu,5928,2137045,Jaipur
25,Jodhpur,Jodhpur,22850,2955582,Jodhpur
26,Karauli,Karauli,5043,1458248,Bharatpur
27,Khairthal-Tijara,Tijara,,966821,Jaipur
28,Kotputli-Behror,Kotputli,,1271426,Jaipur
29,Kota,Kota,5217,1951014,Kota
30,Nagaur,Nagaur,17718,1605543,Ajmer
31,Pali,Pali,12387,1605543,Jodhpur
32,Phalodi,Phalodi,,731583,Jodhpur
33,Pratapgarh,Pratapgarh,4117,867848,Udaipur
34,Rajsamand,Rajsamand,4550,1156597,Udaipur
35,Salumbar,Salumbar,,570775,Udaipur
36,Sawai Madhopur,Sawai Madhopur,10527,1335551,Bharatpur
37,Sikar,Sikar,7742,2677333,Jaipur
38,Sirohi,Sirohi,5136,1036346,Jodhpur
39,Sri Ganganagar,Sri Ganganagar,11154,1969168,Bikaner
40,Tonk,Tonk,7194,1421326,Ajmer
41,Udaipur,Udaipur,11724,2497645,Udaipur
