No.,District,Code,Headquarters,Estd.,Predecessor,Area (km2)[35],Population[35],Pop. density (/km2),Divisions[36],Taluks[36],Assembly constituencies,Lok sabha constituencies,Map
1,Ariyalur,ARI,Ariyalur,23-Nov-07,Perambalur,2027.6,754894,372,Ariyalur Udayarpalayam,Andimadam Ariyalur Sendurai Udayarpalayam,Ariyalur Jayankondam,Chidambaram,
2,Chengalpattu,CHG,Chengalpattu,29-Nov-19,Kanchipuram,2802.6,2556244,912,Chengalpattu Madurantakam Tambaram,Chengalpattu Cheyyur Madurantakam Pallavaram Tambaram Thiruporur Thirukazhukundram Vandalur,Cheyyur Chengalpattu Maduranthakam Pallavaram Tambaram Thiruporur,Kancheepuram Sriperumbudur,
3,Chennai (formerly Madras),CHN,Chennai,1-Nov-56,,462.3,6748026,10052,Chennai Central Chennai North Chennai South,Alandur Ambattur Aminjikarai Ayanavaram Egmore Guindy Kolathur Madhavaram Maduravoyal Mambalam Thirumayilai Perambur Purasawalkam Sholinganallur Tiruvottiyur Tondiarpet Velachery,Alandur Ambattur Anna Nagar Chepauk-Thiruvallikeni Dr. Radhakrishnan Nagar Egmore Harbour Kolathur Maduravoyal Madhavaram Perambur Royapuram Saidapet Sholinganallur Thiru-Vi-Ka Nagar Thirumayilai Thiruvottiyur Thousand Lights Thyagaraya Nagar Velachery Villivakkam Virugambakkam,Chennai Central Chennai North Chennai South Sriperumbudur Thiruvallur,
4,Coimbatore,COI,Coimbatore,1-Nov-56,,4950.7,3458045,699,Coimbatore North Coimbatore South Pollachi,Anaimalai Annur Coimbatore North Coimbatore South Kinathukadavu Madukkarai Mettupalayam Perur Pollachi Sulur Valparai,Kavundampalayam Kinathukadavu Mettupalayam Pollachi Coimbatore North Coimbatore South Singanallur Sulur Thondamuthur Valparai,Coimbatore Nilgiris Pollachi,
5,Cuddalore,CUD,Cuddalore,30-Sep-93,South Arcot District,3870,2605914,673,Chidambaram Cuddalore Vriddachalam,Bhuvanagiri Chidambaram Cuddalore Kattumannarkoil Kurinjipadi Panruti Srimushnam Titakudi Veppur Vriddachalam,Bhuvanagiri Chidambaram Cuddalore Kattumannarkoil Kurinjipadi Neyveli Panruti Tittakudi Virudhachalam,Chidambaram Cuddalore,
6,Dharmapuri,DHA,Dharmapuri,2-Oct-65,Salem,4735.7,1506843,318,Dharmapuri Harur,Dharmapuri Harur Karimangalam Nallampalli Palacode Pappireddipatti Pennagaram,Dharmapuri Harur Palacode Pappireddipatti Pennagaram,Dharmapuri,
7,Dindigul,DIN,Dindigul,15-Sep-85,Madurai,6289.1,2159775,343,Dindigul Kodaikanal Palani,Athoor Dindigul-East Dindigul-West Gujiliamparai Kodaikanal Natham Nilakottai Oddanchattiram Palani Vedasandur,Athoor Dindigul Natham Nilakottai Oddanchatram Palani Vedasandur,Dindigul Karur,
8,Erode,ERO,Erode,31-Aug-79,Coimbatore,6036,2251744,373,Erode Gobichettipalayam,Anthiyur Bhavani Erode Gobichettipalayam Kodumudi Modakurichi Nambiyur Perundurai Sathyamangalam Thalavadi,Anthiyur Bhavani Bhavanisagar Erode East Erode West Gobichettipalayam Modakkurichi Perundurai,Erode Nilgiris Tiruppur,
9,Kallakurichi,KAL,Kallakurichi,26-Nov-19,Viluppuram,3440.8,1370281,398,Kallakkurichi Thirukoilur,Chinnasalem Kallakkurichi Kalvarayan Malai Sankarapuram Thirukoilur Ulundurpet Vanapuram,Kallakkurichi Rishivandiyam Sankarapuram Tirukkoyilur Ulundurpettai,Kallakkurichi Viluppuram,
10,Kancheepuram,KAC,Kancheepuram,1-Jul-97,Chingleput,1800.2,1166401,648,Kancheepuram Sriperumbudur,Kancheepuram Kundrathur Sriperumbudur Uthiramerur Walajabad,Kancheepuram Sriperumbudur Uthiramerur,Kancheepuram Sriperumbudur,
11,Kanyakumari,KAY,Nagercoil,1-Nov-56,,1729.2,1870374,1082,Nagercoil Padmanabhapuram,Agastheeswaram Kalkulam Killiyoor Vilavancode Thiruvattar Thovalai,Colachal Kanniyakumari Killiyur Nagercoil Padmanabhapuram Vilavancode,Kanniyakumari,
12,Karur,KAR,Karur,30-Sep-95,Tiruchirappalli,3022.3,1064493,352,Karur Kulithalai,Aravakurichi Kadavur Karur Krishnarayapuram Kulithalai Manmangalam Pugalur,Aravakurichi Karur Krishnarayapuram Kulithalai,Karur Perambalur,
13,Krishnagiri,KRI,Krishnagiri,9-Feb-04,Dharmapuri,5414.4,1883731,348,Hosur Krishnagiri,Anchetty Bargur Denkanikottai Hosur Krishnagiri Pochampalli Shoolagiri Uthangarai,Bargur Hosur Krishnagiri Thalli Uthangarai Veppanapalli,Krishnagiri,
