Code [2],District [3],Headquarters,Formed,Population [4],Area[4],Density (/km2)[4],Map
AG,Agra,Agra,Pre-Independence,4418797,4041,1093,
AL,Aligarh,Aligarh,Pre-Independence,3673889,3788,1007,
AN,Ambedkar Nagar,Akbarpur,29-Sep-95,2397888,2350,1020,
AD,Ayodhya,Ayodhya,Pre-Independence,2470996,2522,1056,
AM,Amethi,Gauriganj,1-Jul-10,2050133,2329.11,773,
JP,Amroha,Amroha,24-Apr-97,1840221,2249,818,
AU,Auraiya,Auraiya,17-Sep-97,1379545,2016,684,
AZ,Azamgarh,Azamgarh,Pre-Independence,4613913,4054,1138,
BD,Budaun,Budaun,Pre-Independence,3127621,4234,2368,
BG,Bagpat,Baghpat,17-Sep-97,1303048,1321,249,
BH,Bahraich,Bahraich,Pre-Independence,3487731,2981,1170,
BL,Ballia,Ballia,Pre-Independence,3239774,3349,967,
BP,Balrampur,Balrampur,22-May-97,2148665,4408,487,
BN,Banda,Banda,Pre-Independence,1799410,4402,409,
BB,Barabanki,Barabanki,Pre-Independence,3260699,4120,791,
BR,Bareilly,Bareilly,Pre-Independence,4448359,2688,1655,
BS,Basti,Basti,Pre-Independence,2464464,4561,540,
BI,Bijnor,Bijnor,Pre-Independence,3682713,4262,864,
BU,Bulandshahr,Bulandshahr,Pre-Independence,3499171,4441,776,
CD,Chandauli,Chandauli,22 May 1997),1952756,2541,768,
CT,Chitrakoot,Chitrakoot,6-May-97,991730,3216,308,
DE,Deoria,Deoria,Pre-Independence,3100946,2540,1221,
ET,Etah,Etah,Pre-Independence,1774480,2431,730,
EW,Etawah,Etawah,Pre-Independence,1581810,2311,684,
FR,Farrukhabad,Fatehgarh,Pre-Independence,1885204,2181,864,
FT,Fatehpur,Fatehpur,Pre-Independence,2632733,4152,634,
FI,Firozabad,Firozabad,5-Feb-89,2498156,2407,1038,
GB,Gautam Buddha Nagar,Greater Noida,6-Sep-97,1648115,720,2288,
GZ,Ghaziabad,Ghaziabad,14-Nov-76,3343334,1179,2836,
GP,Ghazipur,Ghazipur,Pre-Independence,3620268,3377,1072,
GN,Gonda,Gonda,Pre-Independence,3433919,4003,858,
GR,Gorakhpur,Gorakhpur,Pre-Independence,4440895,3321,1337,
HM,Hamirpur,Hamirpur,Pre-Independence,1104285,4021,275,
HA,Hapur,Hapur,28-Sep-11,1338311,649,2061,
HR,Hardoi,Hardoi,Pre-Independence,4092845,5986,684,
HT,Hathras,Hathras,3-May-97,1564708,1840,850,
JL,Jalaun,Orai,Pre-Independence,1689974,4565,370,
JU,Jaunpur,Jaunpur,Pre-Independence,4494204,4038,1113,
JH,Jhansi,Jhansi,Pre-Independence,1998603,5024,398,
KJ,Kannauj,Kannauj,18-Sep-97,1656616,2093,792,
KD,Kanpur Dehat,Akbarpur,23-Apr-81,1796184,3021,595,
KN,Kanpur Nagar,Kanpur,Pre-Independence,4581268,3155,1452,
KG,Kasganj,Kasganj,15-Apr-08,1436719,1955,735,
KS,Kaushambi,Manjhanpur,4-Apr-97,1599596,1779,899,
KU,Kushinagar,Padarauna,13-May-94,4021243,2905,1200,
LK,Lakhimpur Kheri,Kheri,Pre-Independence,3564544,7680,520,
LA,Lalitpur,Lalitpur,1-Mar-74,1221592,5039,242,
LU,Lucknow,Lucknow,Pre-Independence,4589838,2528,1816,
MG,Maharajganj,Maharajganj,2-Oct-89,2684703,2952,909,
MH,Mahoba,Mahoba,11-Feb-95,875958,3144,279,
MP,Mainpuri,Mainpuri,Pre-Independence,1868529,2760,677,
MT,Mathura,Mathura,Pre-Independence,2547184,3340,763,
MB,Mau,Mau,19-Nov-88,2205968,1713,1288,
ME,Meerut,Meerut,Pre-Independence,3443689,2559,1346,
MI,Mirzapur,Mirzapur,Pre-Independence,2496970,4405,567,
MO,Moradabad,Moradabad,Pre-Independence,3126507,2233,1400,
MU,Muzaffarnagar,Muzaffarnagar,Pre-Independence,2869934,2742,1047,
PI,Pilibhit,Pilibhit,Pre-Independence,2031007,3686,551,
PR,Pratapgarh,Pratapgarh,Pre-Independence,3209141,3717,863,
PR,Prayagraj,Prayagraj,Pre-Independence,5954391,5482,1086,
RB,Rae Bareli,Rae Bareli,Pre-Independence,2903507,3937,737,
RA,Rampur,Rampur,1-Dec-49,2335819,2367,987,
SA,Saharanpur,Saharanpur,Pre-Independence,3466382,3689,940,
SK,Sant Kabir Nagar,Khalilabad,5-Sep-97,2199774,2390,920,
SR,Bhadohi,Bhadohi,30-Jun-94,1715183,1646,1042,
SM,Sambhal,Bahjoi,3-May-11,1578213,1015,1555,
SJ,Shahjahanpur,Shahjahanpur,Pre-Independence,3006538,4388,685,
SH,Shamli,Shamli,3-May-11,1273578,1266,1006,
SV,Shravasti,Shravasti,22-May-97,1117361,1640,681,
SN,Siddharthnagar,Siddharthnagar,29-Dec-88,2559297,2895,884,
SI,Sitapur,Sitapur,Pre-Independence,4483992,5743,781,
SO,Sonbhadra,Robertsganj,4-Mar-89,1862559,6905,270,
SU,Sultanpur,Sultanpur,Pre-Independence,2249036,2457,915,
UN,Unnao,Unnao,Pre-Independence,3108367,4558,682,
VA,Varanasi,Varanasi,Pre-Independence,3676841,1535,2395,
PR,Maha Kumbh area of Prayagraj,Prayagraj,2-Dec-24,Temporary[1],TBD,TBD,
