Code,District,Headquarters[2],Population (As of 2011)[3],Area (km2)[4],Density (/km2),Division,Map
AL,Almora,Almora,621972,3083,201,Kumaon,
BA,Bageshwar,Bageshwar,259840,2302,113,Kumaon,
CL,Chamoli,Gopeshwar,391114,8030,49,Garhwal,
CP,Champawat,Champawat,259315,1781,146,Kumaon,
DD,Dehradun,Dehradun,1695860,3088,550,Garhwal,
HA,Haridwar,Haridwar,1927029,2360,817,Garhwal,
,Nainital,Nainital,955128,3860,247,Kumaon,
PG,Pauri Garhwal,Pauri,686572,5399,127,Garhwal,
PI,Pithoragarh,Pithoragarh,485993,7100,68,Kumaon,
RP,Rudraprayag,Rudraprayag,236857,1890,125,Garhwal,
TG,Tehri Garhwal,Tehri,616409,4080,151,Garhwal,
US,Udham Singh Nagar,Rudrapur,1648367,2908,567,Kumaon,
UT,Uttarkashi,Uttarkashi,329686,8016,41,Garhwal,
