S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
1,35,Andaman And Nicobar Islands,603,Nicobars,"1,841","36,819",20
2,35,Andaman And Nicobar Islands,632,North And Middle Andaman,"3,227","105,539",32
3,35,Andaman And Nicobar Islands,602,South Andamans,"3,181","237,586",80
4,28,Andhra Pradesh,745,Alluri Sitharama Raju,12251,953960,77.87
5,28,Andhra Pradesh,744,Anakapalli,4292,1726998,402.38
6,28,Andhra Pradesh,502,Anantapuramu,10205,2241105,219.61
7,28,Andhra Pradesh,753,Annamayya,7954,1697308,213.39
8,28,Andhra Pradesh,750,Bapatla,3829,1586918,414.45
9,28,Andhra Pradesh,503,Chittoor,6855,1872951,273.22
10,28,Andhra Pradesh,747,Dr. B. R. Ambedkar Konaseema,2083,1719093,825.3
11,28,Andhra Pradesh,505,East Godavari,2561,1832332,715.48
12,28,Andhra Pradesh,748,Eluru,6579,2006737,305.02
13,28,Andhra Pradesh,506,Guntur,2443,2091075,855.95
14,28,Andhra Pradesh,746,Kakinada,3019,2092374,693.07
15,28,Andhra Pradesh,510,Krishna,3775,1735079,459.62
16,28,Andhra Pradesh,511,Kurnool,7980,2271686,284.67
17,28,Andhra Pradesh,755,Nandyal,9682,1781777,184.03
18,28,Andhra Pradesh,749,NTR,3316,2218591,669.06
19,28,Andhra Pradesh,751,Palnadu,7298,2041723,279.76
20,28,Andhra Pradesh,743,Parvathipuram Manyam,3659,925340,252.89
21,28,Andhra Pradesh,517,Prakasam,14322,2288026,159.76
22,28,Andhra Pradesh,519,Srikakulam,4591,2191471,477.34
23,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,10441,2469712,236.54
24,28,Andhra Pradesh,754,Sri Sathya Sai,8925,1840043,206.17
25,28,Andhra Pradesh,752,Tirupati,8231,2196984,266.92
26,28,Andhra Pradesh,520,Visakhapatnam,1048,1959544,1869.79
27,28,Andhra Pradesh,521,Vizianagaram,4122,1930811,468.42
28,28,Andhra Pradesh,523,West Godavari,2278,1844898,809.88
29,28,Andhra Pradesh,504,Y.S.R.,"15,379",2060654,225
30,12,Arunachal Pradesh,628,Anjaw,6190,21089,3
31,12,Arunachal Pradesh,787,Bichom,2897,9710,12
32,12,Arunachal Pradesh,229,Changlang,4662,147951,32
33,12,Arunachal Pradesh,230,Dibang Valley,9129,7948,1
34,12,Arunachal Pradesh,231,East Kameng,4134,78413,19
35,12,Arunachal Pradesh,232,East Siang,4005,99019,25
36,12,Arunachal Pradesh,718,Kamle,200,22256,111.28
37,12,Arunachal Pradesh,786,Keyi Panyor,,"30,000",
38,12,Arunachal Pradesh,677,Kra Daadi,2202,22290,10
39,12,Arunachal Pradesh,233,Kurung Kumey,8818,89717,10
40,12,Arunachal Pradesh,724,Leparada,,"14,490",
41,12,Arunachal Pradesh,234,Lohit,2402,145538,61
42,12,Arunachal Pradesh,666,Longding,"1,200",60000,50
43,12,Arunachal Pradesh,235,Lower Dibang Valley,3900,53986,14
44,12,Arunachal Pradesh,719,Lower Siang,,80597,
45,12,Arunachal Pradesh,236,Lower Subansiri,3460,82839,24
46,12,Arunachal Pradesh,678,Namsai,1587,95950,60
47,12,Arunachal Pradesh,723,Pakke-Kessang,"1,932","15,358",7.9
48,12,Arunachal Pradesh,237,Papum Pare,2875,176385,61
49,12,Arunachal Pradesh,725,Shi-Yomi,2875,13310,4.6
50,12,Arunachal Pradesh,679,Siang,2919,31920,11
51,12,Arunachal Pradesh,238,Tawang,2085,49950,24
52,12,Arunachal Pradesh,239,Tirap,2362,111975,47
53,12,Arunachal Pradesh,240,Upper Siang,6188,33146,5
54,12,Arunachal Pradesh,241,Upper Subansiri,7032,83205,12
55,12,Arunachal Pradesh,242,West Kameng,7422,87013,12
56,12,Arunachal Pradesh,243,West Siang,8325,112272,12
57,18,Assam,739,Bajali,418,253816,610
58,18,Assam,616,Baksa,2457,950075,387
59,18,Assam,280,Barpeta,3182,1693622,532
60,18,Assam,705,Biswanath,1415,612491,430
61,18,Assam,281,Bongaigaon,1093,738804,676
62,18,Assam,282,Cachar,3786,1736319,459
63,18,Assam,708,Charaideo,1069,471418,441
64,18,Assam,612,Chirang#,1170,482162,412
65,18,Assam,283,Darrang,1585,928500,586
66,18,Assam,284,Dhemaji,3237,686133,212
67,18,Assam,285,Dhubri,1608,1394144,867
68,18,Assam,286,Dibrugarh,3381,1326335,392
69,18,Assam,299,Dima Hasao##,4890,214102,44
70,18,Assam,287,Goalpara,1824,1008183,553
71,18,Assam,288,Golaghat,3502,1066888,305
72,18,Assam,289,Hailakandi,1327,659296,497
73,18,Assam,709,Hojai,1686,931218,550
74,18,Assam,290,Jorhat,2851,924952,324
75,18,Assam,291,Kamrup,3105,1517542,489
76,18,Assam,618,Kamrup Metro,"1,527.84","1,253,938",820
77,18,Assam,292,Karbi Anglong,7366,660955,90
78,18,Assam,293,Karimganj,"1,809","1,228,686",680
79,18,Assam,294,Kokrajhar#,3169,887142,280
80,18,Assam,295,Lakhimpur,2277,1042137,458
81,18,Assam,706,Majuli,880,167304,190
82,18,Assam,296,Marigaon,"1,704","957,423",560
83,18,Assam,297,Nagaon,3973,2823768,711
84,18,Assam,298,Nalbari,2257,771639,342
85,18,Assam,300,Sivasagar,2668,679632,255
86,18,Assam,301,Sonitpur,3176,1924110,606
87,18,Assam,707,South Salmara Mancachar,,,
88,18,Assam,756,Tamulpur,884,389150,440
89,18,Assam,302,Tinsukia,3790,1327929,350
90,18,Assam,617,Udalguri#,1852,831688,449
91,18,Assam,710,West Karbi Anglong[1],3035,295358,97
92,10,Bihar,188,Araria,2829,2811569,751
93,10,Bihar,611,Arwal,637,699000,918
94,10,Bihar,189,Aurangabad,3303,2540073,607
94,10,Bihar,189,Aurangabad,10100,3701282,286.83
95,10,Bihar,190,Banka,3018,2034763,533
96,10,Bihar,191,Begusarai,1917,2970541,1222
97,10,Bihar,192,Bhagalpur,2569,3037766,946
98,10,Bihar,193,Bhojpur,2473,2728407,903
99,10,Bihar,194,Buxar,1624,1706352,864
100,10,Bihar,195,Darbhanga,2278,3937385,1442
101,10,Bihar,196,Gaya,4978,4391418,696
102,10,Bihar,197,Gopalganj,2033,2562012,1057
103,10,Bihar,198,Jamui,3099,1760405,451
104,10,Bihar,199,Jehanabad,1569,1125313,963
105,10,Bihar,200,Kaimur (Bhabua),,,
106,10,Bihar,201,Katihar,3056,3071029,782
107,10,Bihar,202,Khagaria,1486,1666886,859
108,10,Bihar,203,Kishanganj,1884,1690400,687
109,10,Bihar,204,Lakhisarai,1229,1000912,652
