S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
1,35.0,Andaman And Nicobar Islands,603.0,Nicobars,,,
2,35.0,Andaman And Nicobar Islands,632.0,North And Middle Andaman,,,
3,35.0,Andaman And Nicobar Islands,602.0,South Andamans,,,
4,28.0,Andhra Pradesh,745.0,Alluri Sitharama Raju,12251,953960,77.87
5,28.0,Andhra Pradesh,744.0,Anakapalli,4292,1726998,402.38
6,28.0,Andhra Pradesh,502.0,Anantapuramu,10205,2241105,219.61
7,28.0,Andhra Pradesh,753.0,Annamayya,7954,1697308,213.39
8,28.0,Andhra Pradesh,750.0,Bapatla,3829,1586918,414.45
9,28.0,Andhra Pradesh,503.0,Chittoor,6855,1872951,273.22
10,28.0,Andhra Pradesh,747.0,Dr. B. R. Ambedkar Konaseema,2083,1719093,825.3
11,28.0,Andhra Pradesh,505.0,East Godavari,2561,1832332,715.48
12,28.0,Andhra Pradesh,748.0,Eluru,6579,2006737,305.02
13,28.0,Andhra Pradesh,506.0,Guntur,2443,2091075,855.95
14,28.0,Andhra Pradesh,746.0,Kakinada,3019,2092374,693.07
15,28.0,Andhra Pradesh,510.0,Krishna,3775,1735079,459.62
16,28.0,Andhra Pradesh,511.0,Kurnool,7980,2271686,284.67
17,28.0,Andhra Pradesh,755.0,Nandyal,9682,1781777,184.03
18,28.0,Andhra Pradesh,749.0,NTR,3316,2218591,669.06
19,28.0,Andhra Pradesh,751.0,Palnadu,7298,2041723,279.76
20,28.0,Andhra Pradesh,743.0,Parvathipuram Manyam,3659,925340,252.89
21,28.0,Andhra Pradesh,517.0,Prakasam,14322,2288026,159.76
22,28.0,Andhra Pradesh,519.0,Srikakulam,4591,2191471,477.34
23,28.0,Andhra Pradesh,515.0,Sri Potti Sriramulu Nellore,10441,2469712,236.54
24,28.0,Andhra Pradesh,754.0,Sri Sathya Sai,8925,1840043,206.17
25,28.0,Andhra Pradesh,752.0,Tirupati,8231,2196984,266.92
26,28.0,Andhra Pradesh,520.0,Visakhapatnam,1048,1959544,1869.79
27,28.0,Andhra Pradesh,521.0,Vizianagaram,4122,1930811,468.42
28,28.0,Andhra Pradesh,523.0,West Godavari,2278,1844898,809.88
29,28.0,Andhra Pradesh,504.0,Y.S.R.,,,
30,12.0,Arunachal Pradesh,628.0,Anjaw,6190,21089,3
31,12.0,Arunachal Pradesh,787.0,Bichom,,,
32,12.0,Arunachal Pradesh,229.0,Changlang,4662,147951,32
33,12.0,Arunachal Pradesh,230.0,Dibang Valley,9129,7948,1
34,12.0,Arunachal Pradesh,231.0,East Kameng,4134,78413,19
35,12.0,Arunachal Pradesh,232.0,East Siang,4005,99019,25
36,12.0,Arunachal Pradesh,718.0,Kamle,200,"22,256[29]",111.28
37,12.0,Arunachal Pradesh,786.0,Keyi Panyor,,,
38,12.0,Arunachal Pradesh,677.0,Kra Daadi,2202,22290,10
39,12.0,Arunachal Pradesh,233.0,Kurung Kumey,8818,89717,10
40,12.0,Arunachal Pradesh,724.0,Leparada,,,
41,12.0,Arunachal Pradesh,234.0,Lohit,2402,145538,61
42,12.0,Arunachal Pradesh,666.0,Longding,"1,200[33]","60,000[33]",50[33]
43,12.0,Arunachal Pradesh,235.0,Lower Dibang Valley,3900,53986,14
44,12.0,Arunachal Pradesh,719.0,Lower Siang,,80597,
45,12.0,Arunachal Pradesh,236.0,Lower Subansiri,3460,82839,24
46,12.0,Arunachal Pradesh,678.0,Namsai,1587,95950,60
47,12.0,Arunachal Pradesh,723.0,Pakke-Kessang,,,
48,12.0,Arunachal Pradesh,237.0,Papum Pare,2875,176385,61
49,12.0,Arunachal Pradesh,725.0,Shi-Yomi,2875,13310,4.6
50,12.0,Arunachal Pradesh,679.0,Siang,2919,31920,11
51,12.0,Arunachal Pradesh,238.0,Tawang,2085,49950,24
52,12.0,Arunachal Pradesh,239.0,Tirap,2362,111975,47
53,12.0,Arunachal Pradesh,240.0,Upper Siang,6188,33146,5
54,12.0,Arunachal Pradesh,241.0,Upper Subansiri,7032,83205,12
55,12.0,Arunachal Pradesh,242.0,West Kameng,7422,87013,12
56,12.0,Arunachal Pradesh,243.0,West Siang,8325,112272,12
57,18.0,Assam,739.0,Bajali,418,253816,610
58,18.0,Assam,616.0,Baksa,2457,950075,387
59,18.0,Assam,280.0,Barpeta,3182,1693622,532
