S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2),Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Households_with_Telephone_Mobile_Phone,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households
1,35,Andaman And Nicobar Islands,603,Nicobars,"1,841","36,819",20,20727,16115,25332,15397,9935,17125,12714,4411,9651,7474,19717,9301,15958,0,15958,2406,5984,7699,6325,3668,1300,27746,9781,37527,18786,12088,5922,4304,193,4830,6669,8462,8055,449,5,102,31,1133,2273,5502,190,7898,4,960,1442,2402,1954,5779,2326,1499,1443,335,6815,480,47,59,10,2,2605
2,35,Andaman And Nicobar Islands,632,North  AND Middle Andaman,"3,227","105,539",32,54861,50736,78683,43186,35497,38579,30612,7967,31038,7541,67018,18641,39091,1094,40185,16126,21215,21293,12707,10042,5133,87325,22422,109747,57350,30741,17464,5070,910,14735,19406,14081,12704,2111,145,741,2154,251,10609,11266,648,20185,140,2124,2847,4971,4593,16267,7087,4587,4324,765,18654,2561,369,411,37,5,4701
3,35,Andaman And Nicobar Islands,602,South Andaman,"3,181","237,586",80,127283,110859,190266,105794,84472,96831,77563,19268,85221,11610,141311,52479,34901,50631,85532,16301,33267,42741,42150,29910,22388,189834,36289,226123,128402,76332,33128,7692,5323,44400,52025,48604,44691,3634,347,248,220,409,12316,39847,536,51292,338,3697,6292,9989,10821,37545,17063,9661,7706,1850,42588,4227,813,964,128,23,9311
4,28,Andhra Pradesh,745,Alluri Sitharama Raju,12251,953960,77.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,28,Andhra Pradesh,744,Anakapalli,4292,1726998,402.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,Andhra Pradesh,502,Anantapuramu,10205,2241105,219.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28,Andhra Pradesh,753,Annamayya,7954,1697308,213.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,28,Andhra Pradesh,750,Bapatla,3829,1586918,414.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28,Andhra Pradesh,503,Chittoor,6855,1872951,273.22,2090204,2083860,2667878,1484794,1183084,1933357,1202223,731134,1669852,263505,2240707,944555,907970,395900,1303870,522961,770836,673197,548336,265199,246409,3062955,1170993,4233948,2148179,1159053,807430,225856,16296,611465,632803,754648,382377,8192,135531,349,548,38931,539408,342011,494,835606,92651,55151,132169,187320,175853,678054,311451,190750,142837,13905,757090,105579,10901,12183,1103,179,147264
10,28,Andhra Pradesh,747,Dr. B. R. Ambedkar Konaseema,2083,1719093,825.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,28,Andhra Pradesh,505,East Godavari,2561,1832332,715.48,2569688,2584608,3288577,1716933,1571644,2093681,1545831,547850,1748117,345564,3060615,1297273,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,3518619,1524603,5043222,2724328,1478954,948122,779052,25381,821421,732492,869464,800168,121195,342767,4440,6523,11217,558347,613789,5684,908806,40397,95856,239150,335006,275218,952492,468704,208570,112434,7478,1085890,85895,6477,7007,450,80,228618
12,28,Andhra Pradesh,748,Eluru,6579,2006737,305.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,28,Andhra Pradesh,506,Guntur,2443,2091075,855.95,2440521,2447292,2960441,1634726,1325715,2381624,1442370,939254,2106326,275298,2506189,1186028,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,3209266,1474349,4683615,2583462,1371811,928462,454586,17424,816849,733133,904201,762845,67710,428749,1299,4238,35872,465404,554667,5833,739450,73453,83026,212589,295615,229537,842985,413160,200288,139120,10111,972992,117838,10388,11313,821,104,185688
14,28,Andhra Pradesh,746,Kakinada,3019,2092374,693.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,28,Andhra Pradesh,510,Krishna,3775,1735079,459.62,2267375,2250023,3009718,1598959,1410759,2048880,1327299,721581,1744978,303902,2468518,1163932,909292,567042,1476334,618101,692968,630603,531821,312753,328454,3169428,1352499,4521927,2340943,1284630,833959,525079,27969,794346,743696,897201,863417,87080,205072,1490,1097,17143,387804,611878,6592,903992,43371,81004,218150,299154,235751,824868,417156,171961,95350,7885,955030,81787,6370,6886,449,67,183554
16,28,Andhra Pradesh,511,Kurnool,7980,2271686,284.67,2039227,2014236,2127161,1246369,880792,2029425,1164122,865303,1757520,271905,2024038,816721,783853,306982,1090835,521327,672951,466940,271828,152453,115504,2220285,1517933,3738218,2368684,1053618,609027,271815,10622,543044,572406,702120,353289,17204,138946,5694,6352,5342,431425,227045,3297,696977,38696,29425,86663,116088,120568,547505,238908,188029,181675,31914,652567,109416,18819,22549,3071,659,92650
17,28,Andhra Pradesh,755,Nandyal,9682,1781777,184.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,28,Andhra Pradesh,749,NTR,3316,2218591,669.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28,Andhra Pradesh,751,Palnadu,7298,2041723,279.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28,Andhra Pradesh,743,Parvathipuram Manyam,3659,925340,252.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28,Andhra Pradesh,517,Prakasam,14322,2288026,159.76,1714764,1682684,1904435,1107686,796749,1700567,991842,708725,1463508,237059,1696881,763746,873486,214089,1087575,489805,495556,368919,249034,142026,133627,1900943,1218310,3119253,1832695,917391,641707,226045,9071,468022,494689,528518,321332,91097,244709,3379,2055,24112,406577,197300,6529,481021,78693,51012,130198,181210,144923,548015,251635,151457,115932,12119,643184,89358,10022,11413,1186,205,113321
22,28,Andhra Pradesh,519,Srikakulam,4591,2191471,477.34,1341738,1361376,1495381,857824,637557,1290288,766483,523805,936244,354044,1412826,615432,752752,149684,902436,291793,348354,319244,251521,146721,121213,1499877,1009992,2509869,1423119,747385,528736,180824,5264,297418,332230,178089,146386,199161,282509,2719,10077,3531,394989,107308,1567,179917,85253,42847,86481,129328,118149,464451,224481,121821,85869,9675,506897,66546,7462,8385,811,112,107495
23,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,10441,2469712,236.54,1492974,1470583,1832189,1011922,820267,1314561,859880,454681,1076544,238017,1648996,696024,689137,264376,953513,437438,451130,370710,267243,161031,148394,1863811,940785,2804596,1574713,840448,544022,162980,11661,486148,443579,519318,306095,51084,167584,798,1514,14690,326288,338967,1077,529838,56033,50886,124620,175506,145951,510984,243234,121799,79487,6648,581823,64736,6336,7048,608,104,119018
24,28,Andhra Pradesh,754,Sri Sathya Sai,8925,1840043,206.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28,Andhra Pradesh,752,Tirupati,8231,2196984,266.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,28,Andhra Pradesh,520,Visakhapatnam,1048,1959544,1869.79,2138910,2151679,2568249,1422878,1145371,1889879,1239064,650815,1481139,408740,2400710,1010250,718847,660493,1379340,414636,568178,649271,541942,329770,289734,2837695,1418851,4256546,2274553,1245627,716066,297276,46469,666976,657824,679351,577722,81562,319590,62111,5855,9949,494827,384258,1601,634191,145141,54096,144655,198751,214294,786438,380992,191152,129455,11522,868660,92853,8305,9143,717,121,155510
27,28,Andhra Pradesh,521,Vizianagaram,4122,1930811,468.42,1161477,1182997,1238388,707503,530885,1157962,679289,478673,953215,204747,1186512,527736,592458,157056,749514,250446,300057,257468,186576,115144,103591,1240323,1031683,2272006,1206366,666394,451469,168297,5002,278230,265587,242486,131289,73701,246172,6785,2591,1015,396943,95138,2588,259205,59276,30854,74473,105327,104907,403386,192867,105612,80085,7807,440182,65254,6261,6993,645,87,84176
28,28,Andhra Pradesh,523,West Godavari,2278,1844898,809.88,1964918,1972048,2652389,1379223,1273166,1773112,1199338,573774,1534166,238946,2163854,1017568,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,2771842,1028767,3800609,2051513,1127764,755533,605463,14687,648607,578252,720167,694857,20184,126299,264,8333,7707,338966,593261,10333,900503,17816,70587,193110,263697,211052,724609,363280,150277,82492,4982,830550,71679,5319,5684,329,36,167867
29,28,Andhra Pradesh,504,Y.S.R.,"15,379",2060654,225,1451777,1430692,1716766,994699,722067,1320404,823886,496518,1079903,240501,1562065,671764,590589,293504,884093,408650,509166,413364,258798,140145,116330,1862684,893657,2756341,1553667,793583,530412,130524,7558,409629,439641,586881,314726,4347,82945,1137,2078,13297,374889,238688,86,598146,25759,35964,93139,129103,119726,455759,201211,134822,106666,11608,530163,70984,8397,9509,953,159,92480
30,12,Arunachal Pradesh,628,Anjaw,6190,21089,3,11507,9660,9990,6523,3467,10501,6224,4277,9264,1237,10666,1949,6025,428,6453,2879,2946,2170,1167,793,502,10555,8723,19278,13913,4755,2456,51,79,1153,1239,1064,1200,3,0,150,238,121,1845,1307,38,3624,0,389,457,846,552,1886,661,673,1275,173,2991,281,35,37,2,0,871
31,12,Arunachal Pradesh,787,Bichom,2897,9710,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12,Arunachal Pradesh,229,Changlang,4662,147951,32,76948,71278,73174,44027,29147,62966,39329,23637,50765,12201,85260,14593,33422,6498,39920,20425,22537,17354,10032,5641,3633,80456,57290,137746,96630,35018,16414,13306,1102,9314,10621,9721,19606,3501,9164,979,1748,385,10346,12040,52,12297,2057,1429,2130,3559,3395,13892,5197,5300,8962,2015,21057,3081,422,483,53,8,3807
33,12,Arunachal Pradesh,230,Dibang Valley,9129,7948,1,4414,3590,4436,2614,1822,3555,2228,1327,2525,1030,4449,1074,2055,1175,3230,696,1258,1060,809,656,356,4926,2185,7111,5113,2088,786,46,96,685,816,947,1311,6,0,44,92,71,694,932,7,1649,0,383,260,643,257,726,247,222,401,101,982,137,8,8,0,0,744
34,12,Arunachal Pradesh,231,East Kameng,4134,78413,19,38775,39915,38449,21599,16850,31710,16424,15286,27123,4587,46980,5318,14503,5215,19718,11713,10487,8852,6213,4510,2330,44247,31763,76010,53752,17922,6960,755,577,3169,4178,4477,4703,296,46,1375,1309,160,7097,2839,164,11181,44,494,1068,1562,1626,6187,2156,2405,5600,1261,11366,1396,217,266,38,11,1582
35,12,Arunachal Pradesh,232,East Siang,4005,99019,25,50116,49098,62576,34210,28366,40222,23591,16631,33578,6644,58992,14231,19497,9524,29021,9938,13713,13968,10937,9498,6540,65119,21543,86662,61993,25334,11802,6380,2072,9363,12744,8399,11735,733,3798,485,633,194,7331,7504,135,12954,455,1215,1598,2813,1966,8102,2950,3186,6270,1910,13537,2123,358,446,62,26,2989
36,12,Arunachal Pradesh,718,Kamle,200,22256,111.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12,Arunachal Pradesh,786,Keyi Panyor,,"30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12,Arunachal Pradesh,677,Kra Daadi,2202,22290,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,12,Arunachal Pradesh,233,Kurung Kumey,8818,89717,10,45318,46758,36606,20258,16348,38044,18429,19615,24372,13672,54032,3911,18603,1092,19695,12661,15054,12264,6997,4353,2031,53659,42621,96280,64379,20713,6836,189,605,1320,3318,2173,4066,951,99,3613,2385,1725,7920,1688,390,6770,99,184,648,832,1247,5358,1898,2213,8718,1054,12003,2146,329,403,52,22,1410
40,12,Arunachal Pradesh,724,Leparada,,"14,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12,Arunachal Pradesh,234,Lohit,2402,145538,61,76221,69505,83062,48380,34682,60945,38910,22035,50754,10191,84781,17157,33599,11372,44971,19306,25179,20643,13070,7612,5180,91574,52421,143995,94890,35493,15195,16426,1203,12215,13372,11806,17327,925,16855,104,1739,456,7993,16365,181,8500,2548,1667,2314,3981,3828,15082,5588,5666,8813,1531,21917,2652,386,447,50,11,4391
42,12,Arunachal Pradesh,666,Longding,"1,200",60000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,12,Arunachal Pradesh,235,Lower Dibang Valley,3900,53986,14,28053,26027,31849,18087,13762,22326,14102,8224,19829,2497,31754,5932,12000,3950,15950,5875,7957,7351,5508,3570,2795,33141,14406,47547,35140,13254,5652,4410,703,4345,6616,4945,6143,154,2577,81,750,222,3148,5416,16,7059,139,926,1038,1964,1399,5222,1975,1848,3048,649,7625,977,116,151,26,9,2130
44,12,Arunachal Pradesh,719,Lower Siang,,80597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12,Arunachal Pradesh,236,Lower Subansiri,3460,82839,24,41843,41187,54057,29470,24587,30202,17339,12863,22669,7533,52828,12493,18112,5365,23477,8492,10821,11661,9861,7674,5230,54034,17273,71307,55258,20305,7412,1063,2002,7285,9532,8804,11232,505,142,425,600,346,5240,7800,169,12831,142,960,1225,2185,1636,5721,2058,2027,5450,1778,10649,1513,260,358,77,21,2614
